iter	Passed	Remaining
0	155	154936
1	156	78165
2	158	52553
3	159	39821
4	161	32192
5	163	27054
6	165	23424
7	166	20683
8	168	18528
9	169	16822
10	171	15438
11	173	14286
12	175	13296
13	176	12447
14	178	11723
15	180	11081
16	181	10502
17	182	9983
18	184	9527
19	186	9121
20	187	8762
21	189	8425
22	191	8118
23	192	7837
24	194	7575
25	195	7335
26	197	7120
27	199	6917
28	200	6716
29	202	6531
30	203	6369
31	205	6210
32	206	6059
33	208	5918
34	210	5793
35	211	5664
36	212	5541
37	214	5432
38	216	5329
39	217	5222
40	219	5123
41	220	5036
42	222	4950
43	223	4863
44	225	4780
45	226	4706
46	228	4632
47	229	4559
48	231	4490
49	233	4431
50	234	4366
51	236	4303
52	237	4244
53	239	4189
54	240	4134
55	242	4081
56	243	4029
57	245	3985
58	247	3942
59	248	3897
60	250	3851
61	251	3808
62	253	3766
63	254	3726
64	256	3688
65	258	3651
66	259	3613
67	260	3570
68	262	3537
69	263	3505
70	265	3471
71	267	3444
72	268	3411
73	270	3384
74	272	3356
75	273	3325
76	275	3297
77	276	3270
78	278	3244
79	279	3217
80	281	3191
81	283	3171
82	284	3147
83	286	3122
84	287	3094
85	289	3075
86	290	3047
87	291	3025
88	293	3002
89	295	2983
90	296	2962
91	297	2941
92	299	2919
93	301	2910
94	303	2891
95	305	2872
96	306	2855
97	308	2839
98	309	2820
99	311	2801
100	313	2786
101	314	2765
102	315	2748
103	316	2730
104	318	2713
105	320	2699
106	321	2683
107	323	2668
108	324	2652
109	326	2639
110	327	2625
111	329	2610
112	330	2596
113	332	2584
114	334	2570
115	335	2555
116	336	2540
117	338	2528
118	339	2514
119	341	2501
120	342	2488
121	343	2475
122	345	2460
123	346	2449
124	348	2437
125	349	2426
126	351	2416
127	352	2401
128	354	2390
129	355	2379
130	357	2370
131	358	2360
132	360	2349
133	362	2339
134	363	2331
135	365	2320
136	366	2309
137	367	2298
138	369	2289
139	371	2279
140	372	2269
141	374	2260
142	375	2253
143	377	2244
144	379	2235
145	380	2227
146	382	2219
