iter	Passed	Remaining
0	139	139047
1	140	70222
2	142	47495
3	144	35972
4	145	29043
5	148	24591
6	149	21274
7	151	18774
8	153	16858
9	154	15339
10	156	14068
11	157	13006
12	159	12129
13	162	11418
14	164	10780
15	166	10225
16	167	9714
17	169	9248
18	171	8830
19	172	8474
20	174	8132
21	176	7842
22	178	7597
23	180	7332
24	181	7087
25	183	6864
26	185	6678
27	186	6481
28	188	6301
29	190	6149
30	192	6002
31	193	5855
32	194	5712
33	196	5590
34	198	5465
35	199	5349
36	201	5238
37	203	5139
38	204	5040
39	206	4944
40	207	4852
41	209	4779
42	211	4696
43	212	4615
44	214	4553
45	216	4484
46	217	4419
47	219	4356
48	221	4295
49	222	4232
50	224	4170
51	225	4117
52	227	4065
53	229	4014
54	230	3963
55	232	3919
56	234	3875
57	235	3830
58	237	3786
59	239	3746
60	240	3707
61	242	3665
62	243	3624
63	245	3589
64	246	3552
65	248	3515
66	249	3479
67	251	3451
68	253	3419
69	254	3386
70	256	3353
71	258	3326
72	259	3297
73	261	3269
74	262	3239
75	264	3216
76	265	3187
77	267	3161
78	268	3135
79	270	3113
80	272	3094
81	274	3070
82	275	3040
83	276	3018
84	278	2998
85	280	2980
86	282	2962
87	283	2943
88	285	2923
89	287	2903
90	288	2885
91	290	2865
92	291	2847
93	301	2905
94	302	2886
95	304	2870
96	306	2854
97	308	2841
98	310	2823
99	312	2808
100	313	2794
101	316	2782
102	317	2767
103	319	2756
104	321	2739
105	322	2722
106	324	2706
107	326	2692
108	327	2678
109	329	2667
110	331	2657
111	333	2643
112	335	2630
113	336	2617
114	339	2616
115	341	2605
116	343	2591
117	346	2588
118	347	2575
119	349	2561
120	351	2551
121	352	2536
122	355	2534
123	390	2757
124	392	2745
125	394	2735
126	396	2723
127	398	2713
128	400	2703
129	423	2834
130	426	2826
131	427	2814
132	429	2802
133	431	2787
134	432	2774
135	434	2759
136	435	2746
137	437	2732
138	439	2719
139	440	2706
140	443	2701
141	444	2685
142	446	2673
143	449	2670
144	451	2659
145	453	2650
146	456	2646
147	457	2635
148	459	2625
149	461	2616
150	463	2605
151	464	2593
152	466	2581
153	467	2570
154	469	2558
155	471	2548
156	472	2536
157	474	2526
158	475	2514
159	476	2504
160	477	2490
161	480	2484
162	481	2474
163	483	2464
164	485	2455
165	487	2446
166	488	2437
167	490	2428
168	492	2422
169	494	2413
170	496	2405
171	498	2397
172	499	2388
173	501	2379
174	502	2370
175	504	2362
176	505	2352
177	507	2343
178	509	2334
179	510	2326
180	512	2320
181	514	2311
182	516	2305
183	518	2297
184	519	2289
185	521	2280
186	523	2275
187	525	2267
188	526	2260
189	528	2253
190	530	2245
191	531	2237
192	533	2231
193	535	2225
194	537	2217
195	538	2209
196	540	2203
197	542	2198
198	544	2191
199	546	2184
200	547	2177
201	549	2169
202	550	2162
203	552	2155
204	554	2150
205	555	2142
206	557	2135
207	559	2129
208	560	2122
209	564	2122
210	566	2117
211	568	2111
212	569	2104
213	571	2097
214	574	2096
215	575	2090
216	577	2083
217	579	2077
218	581	2072
219	583	2067
220	585	2064
221	587	2058
222	588	2052
223	591	2048
224	592	2041
225	594	2035
226	596	2030
227	597	2024
228	599	2018
229	601	2012
230	602	2007
231	604	2000
232	605	1994
233	607	1988
234	609	1983
235	610	1977
236	612	1971
237	613	1965
238	615	1961
239	617	1955
240	619	1951
241	621	1947
242	623	1941
243	625	1936
244	627	1932
245	629	1929
246	630	1922
247	632	1916
248	634	1912
249	635	1907
250	637	1902
251	639	1897
252	641	1892
253	642	1887
254	644	1883
255	646	1879
256	648	1874
257	650	1869
258	652	1866
259	654	1862
260	655	1857
261	658	1855
262	660	1852
263	662	1847
264	664	1843
265	666	1838
266	667	1833
267	669	1827
268	671	1824
269	672	1819
270	674	1814
271	676	1809
272	678	1805
273	679	1800
274	681	1795
275	683	1791
276	684	1786
277	686	1781
278	687	1776
279	689	1772
280	690	1767
281	692	1763
282	694	1759
283	696	1754
284	697	1750
285	699	1745
286	700	1741
287	703	1738
288	704	1733
289	706	1728
290	708	1725
291	709	1721
292	711	1717
293	713	1713
294	716	1711
295	718	1707
296	720	1704
297	722	1701
298	723	1696
299	725	1692
300	727	1689
301	729	1685
302	730	1680
303	732	1676
304	734	1674
305	736	1669
306	737	1665
307	740	1662
308	741	1658
309	743	1654
310	745	1651
311	747	1648
312	749	1644
313	751	1641
314	752	1637
315	754	1633
316	756	1629
317	758	1626
318	759	1622
319	762	1621
320	765	1618
321	767	1615
322	768	1610
323	770	1608
324	772	1605
325	774	1601
326	777	1599
327	779	1596
328	781	1592
329	783	1590
330	785	1586
331	786	1582
332	788	1579
333	790	1576
334	792	1572
335	793	1568
336	795	1565
337	796	1560
338	798	1556
339	799	1552
340	801	1549
341	803	1545
342	804	1541
343	806	1537
344	808	1535
